rank,id,score
162,3943,255.11318876106907
163,2159,254.49269396111424
164,3452,254.13480243949553
165,2201,254.02641364431634
166,1770,253.7019316746821
167,1554,253.69087798908697
168,5220,253.6745724947907
169,4592,253.40406926925368
170,584,253.3848646462212
171,1805,252.99347365879356
172,4872,251.95356673632446
173,4489,250.95737543349748
174,2457,250.52336677307784
175,5080,250.09934375559223
176,5108,249.44664794441778
177,1012,248.6276747303133
178,2188,248.59289627897954
179,1481,248.326104289729
180,3619,248.05146991499282
181,195,247.8968245780586
182,4269,247.67841528819534
183,3445,247.5282706005619
184,502,247.30036297595328
185,5161,246.5739115226279
186,1902,246.39406775028738
187,5000,245.59543324465662
188,3398,245.3286799370584
189,2964,242.99673988685294
190,5343,242.8601931815857
191,5065,242.80507949417284
192,3981,241.59485111628578
193,5188,241.23454924067804
194,125,240.99565343794086
195,1495,239.54671129100333
196,3456,238.29577192376007
197,4101,237.95339170191153
198,4293,237.34589022077134
199,2610,236.6323078735672
200,260,236.60198213412204
201,666,236.37145205492482
202,1979,235.3970677365483
203,1474,235.23880736827104
204,609,235.16057667480692
205,3689,234.88228088244708
206,3776,234.81779314929568
207,4077,234.72830279273927
208,2018,234.69363543133596
209,4875,233.7771449651866
210,880,233.23657080298574
211,3576,232.4094860850202
212,2443,232.26171062715918
213,1850,230.99937107654685
214,3435,230.87196242412693
215,559,230.76958831524124
216,1354,230.74396052851026
217,3065,230.47451912886422
218,4469,230.39000723693576
219,5544,230.038772717224
220,4362,229.33435010862948
221,3389,229.07639104538936
222,3193,229.0178911628618
223,1889,227.95848297914
224,671,227.1018454669332
225,5176,226.62096157898725
226,4073,225.94016767237324
227,4412,224.81125231121672
228,1669,224.75180884745947
229,4045,224.49367803917428
230,2789,223.9980319733944
231,3072,223.98875595479575
232,1552,223.47489601368224
233,300,222.44355040818567
234,226,222.2
235,227,222.2
236,228,222.2
237,229,222.2
238,230,222.2
239,231,222.2
240,232,222.2
241,233,222.2
242,234,222.2
243,235,222.2
244,236,222.2
245,237,222.2
246,238,222.2
247,239,222.2
248,240,222.2
249,241,222.2
250,242,222.2
251,243,222.2
252,244,222.2
253,245,222.2
254,246,222.2
255,247,222.2
256,248,222.2
257,249,222.2
258,250,222.2
259,5098,222.17262631404276
260,4541,221.18289755533712
261,3649,220.59156545218337
262,3616,220.12281907516683
263,318,218.75079795568564
264,3911,218.15749911480313
265,1268,218.02696260589022
266,2696,217.8903924278666
267,1151,216.7414613154739
268,2183,216.48583248106667
269,1154,215.85451966671417
270,1954,214.78344039320817
271,1139,214.56433674405153
272,1443,213.31555626911046
273,1701,212.73703002656015
274,585,210.7866818653791
275,4107,209.50964012368632
276,4065,209.02521879294198
277,2827,208.24509668252713
278,3170,207.88521167149446
279,2999,207.82348199487552
280,2971,207.15634108835562
281,4725,207.0974270383184
282,3129,206.50664126662085
283,3317,206.4632551327971
284,430,206.3984073984243
285,2175,205.78401456405444
286,2980,205.43647050968264
287,2481,204.77773136801565
288,1696,204.31005393887736
289,986,204.1270514650251
290,4092,204.0397878360517
291,4460,203.80745388133462
292,5164,202.73229464046435
293,271,202.12489455966292
294,188,201.71602158520705
295,4696,201.2199579163683
296,2711,200.64034163152795
297,612,199.2114380962895
298,2578,199.1234520240864
299,5342,198.7701852713668
300,360,198.06345355908107
301,3492,196.8818054959686
302,2859,196.7770671735574
303,1447,196.7301200439751
304,493,196.6007150956901
305,1932,196.5534382301311
306,296,196.43211007226867
307,2856,195.14952105674618
308,1823,195.06612250613426
309,3418,193.16596736343863
310,119,193.15713756360356
311,1936,192.99122781664184
312,3211,192.75225202253915
313,324,192.0983418149198
314,182,191.64843762949536
315,3889,191.62254197249416
316,5110,191.37699867398766
317,2930,191.26001502717608
318,5519,190.86134034732572
319,1556,190.56066268234295
320,3075,190.30650248133952
321,5332,190.14716147871832
322,4599,190.13729000204802
323,4492,189.39798623103235
324,1253,189.32707982346525
325,712,189.1856040192728
326,1573,187.59986227876027
327,309,187.59133692969493
328,2868,187.57796371277794
329,1269,187.42521413902406
330,1595,187.4173099525647
331,2389,187.33045983042118
332,3730,187.26065632665512
333,2771,187.06517776555245
334,4645,186.66040869314187
335,174,186.48288008161884
336,4879,186.42306710889787
337,4063,186.35872383094355
338,3987,186.3269730557159
339,5328,186.03767832305473
340,2368,185.3285342298077
341,207,184.87209584802687
342,1164,184.57884509819783
343,2271,184.41419365753165
344,4410,184.3366016106332
345,3537,184.31818132577925
346,518,183.23742781005257
347,5386,182.69215851501485
348,1196,182.67282935663732
349,2769,182.59012296689602
350,2344,182.46773640749026
351,5498,182.42344115428492
352,178,182.4233501713346
353,1317,182.25838571147904
354,3288,182.18365520949553
355,1802,181.45258263919808
356,568,181.25729768409073
357,748,181.0495230614111
358,218,180.96070845125442
359,4094,180.5759711517281
360,345,179.6554975590817
361,1029,179.54628233471237
362,1234,179.47328753055373
363,857,179.08815908752246
364,4175,178.59590765883115
365,2479,178.51308355578627
366,2234,178.20232346817923
367,1068,178.05040845596426
368,2330,178.02784285065377
369,2806,177.92509242467358
370,3283,177.8682038493736
371,3540,177.14254296871087
372,160,176.55708948563733
373,1306,176.3430040372758
374,4847,176.067764191239
375,5047,176.00286795279126
376,3687,175.91746368420235
377,2342,175.7588410826568
